City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,kavaratti,10.5669,72.642,29.13,74,25,3.58,IN,1681822194
114,te anau,-45.4167,167.7167,9.41,86,55,0.31,NZ,1681822212
115,narsaq,60.9167,-46.05,4.12,83,51,1.38,GL,1681822351
116,bengkulu,-3.8004,102.2655,26.72,80,99,1.26,ID,1681822157
117,villamontes,-21.25,-63.5,17.69,100,100,0.0,BO,1681822750
118,poum,-20.2333,164.0167,25.98,78,14,6.85,NC,1681822751
119,pachuca,20.117,-98.7333,14.2,60,0,1.84,MX,1681822751
120,airai,-8.9266,125.4092,16.5,98,100,1.15,TL,1681822752
121,vao,-22.6667,167.4833,25.53,85,98,9.25,NC,1681822752
122,olavarria,-36.8927,-60.3225,10.71,76,100,5.41,AR,1681822753
123,saint george,37.1041,-113.5841,16.64,24,0,3.6,US,1681822247
124,alice springs,-23.7,133.8833,12.75,76,100,3.6,AU,1681822754
125,zhangye,38.9342,100.4517,24.36,14,17,4.78,CN,1681822755
126,hasaki,35.7333,140.8333,12.22,71,100,6.55,JP,1681822755
127,hilo,19.7297,-155.09,22.93,79,75,2.68,US,1681822756
128,new norfolk,-42.7826,147.0587,15.72,80,100,1.91,AU,1681822756
129,kedougou,12.5579,-12.1743,37.32,32,0,2.06,SN,1681822757
130,sibu,2.3,111.8167,27.17,83,40,1.54,MY,1681822758
131,jojoima,7.8792,-10.7878,34.71,44,99,1.32,SL,1681822758
132,lebu,-37.6167,-73.65,10.93,71,100,1.8,CL,1681822759
133,faya,18.3851,42.4509,24.06,34,4,4.56,SA,1681822759
134,hamilton,39.1834,-84.5333,5.9,74,0,1.34,US,1681822216
135,shaoguan,24.8,113.5833,27.76,75,100,1.32,CN,1681822760
136,biltine,14.5333,20.9167,40.3,10,17,5.9,TD,1681822761
137,nanortalik,60.1432,-45.2371,0.18,88,100,0.72,GL,1681822761
138,rio pardo,-29.9897,-52.3781,20.09,64,5,1.5,BR,1681822762
139,maniitsoq,65.4167,-52.9,-2.92,74,54,5.99,GL,1681822281
140,coquimbo,-29.9533,-71.3436,12.85,87,75,1.03,CL,1681822265
141,hofn,64.2539,-15.2082,8.24,98,100,2.44,IS,1681822365
142,qaanaaq,77.484,-69.3632,-15.83,74,0,2.48,GL,1681822766
143,sept-iles,50.2001,-66.3821,1.7,96,100,12.86,CA,1681821902
144,portland,45.5234,-122.6762,4.3,93,100,4.92,US,1681822684
145,suffolk,40.8668,-72.7996,13.32,55,40,7.2,US,1681822681
146,dingle,10.9995,122.6711,26.59,82,48,2.57,PH,1681822768
147,vanimo,-2.6741,141.3028,26.15,89,100,3.72,PG,1681822208
148,viedma,-40.8135,-62.9967,14.54,47,13,8.69,AR,1681822769
149,sovetskiy,61.3614,63.5842,-2.08,78,94,3.2,RU,1681822769
150,romitan,39.9343,64.3814,15.97,17,0,7.2,UZ,1681822770
151,ilinge,-31.9768,27.0427,29.0,14,0,6.42,ZA,1681822771
152,yar-sale,66.8333,70.8333,-7.7,90,100,4.5,RU,1681822771
153,veraval,20.9,70.3667,29.52,62,0,7.93,IN,1681822772
154,mount gambier,-37.8333,140.7667,11.8,83,100,2.63,AU,1681822302
155,namtsy,62.7161,129.6658,-9.0,98,90,1.68,RU,1681822773
156,muros,42.7762,-9.0603,23.97,32,38,2.19,ES,1681822224
157,lavrentiya,65.5833,-171.0,-15.39,91,100,1.46,RU,1681822306
